policy_id,policy_number,customer_id,agent_id,coverage_id,line_of_business,policy_status,effective_date,expiration_date,policy_term_months,annual_premium,monthly_premium,deductible,coverage_limit,payment_plan,cancellation_date,cancellation_reason,underwriting_score,risk_state,created_date,modified_date
"POL0001534","PC-AUT-186746","CUST001782","AGT00158","COV004","Auto","Active","2020-02-08","2021-02-02",12,6064.13,505.34,2500.00,100000.00,"Annual",,,"755.0","OH","2020-02-08","2021-12-04"
"POL0001535","PC-AUT-835998","CUST001465","AGT00134","COV010","Auto","Cancelled","2020-02-18","2022-02-07",24,3740.34,311.69,5000.00,1000000.00,"Quarterly","2021-04-16","Fraud Suspected","982.0","WI","2020-02-18","2021-08-18"
"POL0001536","PC-AUT-995682","CUST001528","AGT00062","COV007","Auto","Suspended","2021-09-10","2023-08-31",24,3935.41,327.95,1000.00,1000000.00,"Monthly",,,"790.0","MN","2021-09-10","2022-10-02"
"POL0001537","PC-HOM-793573","CUST001225","AGT00107","COV011","Homeowners","Cancelled","2018-04-16","2018-10-13",6,7913.66,659.47,1000.00,50000.00,"Annual","2018-07-27","Insured Request","917.0","TX","2018-04-16","2018-09-12"
"POL0001538","PC-AUT-122484","CUST000808","AGT00152","COV007","Auto","Cancelled","2019-05-06","2021-04-25",24,5082.87,423.57,500.00,250000.00,"Semi-Annual","2020-12-22","Move Out of State","887.0","WI","2019-05-06","2019-10-30"
"POL0001539","PC-COM-844610","CUST001073","AGT00131","COV022","Commercial","Pending Renewal","2019-01-05","2020-12-25",24,30940.69,2578.39,250.00,500000.00,"Semi-Annual",,,"846.0","NV","2019-01-05","2019-01-09"
"POL0001540","PC-AUT-842926","CUST000523","AGT00018","COV010","Auto","Suspended","2018-12-10","2020-11-29",24,8271.20,689.27,5000.00,250000.00,"Monthly",,,"951.0","TX","2018-12-10","2019-02-09"
"POL0001541","PC-COM-552197","CUST001487","AGT00197","COV029","Commercial","Active","2021-06-02","2023-05-23",24,54907.05,4575.59,500.00,500000.00,"Quarterly",,,"598.0","CA","2021-06-02","2022-02-18"
"POL0001542","PC-AUT-907235","CUST001672","AGT00006","COV002","Auto","Pending Renewal","2022-02-08","2024-01-29",24,2133.64,177.80,500.00,500000.00,"Semi-Annual",,,,"TX","2022-02-08","2022-06-04"
"POL0001543","PC-COM-674324","CUST001186","AGT00036","COV022","Commercial","Expired","2020-09-27","2021-03-26",6,50830.82,4235.90,2500.00,100000.00,"Semi-Annual",,,"628.0","CO","2020-09-27","2020-10-13"
"POL0001544","PC-HOM-501969","CUST000026","AGT00123","COV018","Homeowners","Expired","2019-10-18","2020-10-12",12,3936.02,328.00,500.00,250000.00,"Semi-Annual",,,"542.0","LA","2019-10-18","2021-06-16"
"POL0001545","PC-COM-794114","CUST000934","AGT00122","COV025","Commercial","Active","2021-04-25","2022-04-20",12,65398.83,5449.90,500.00,100000.00,"Monthly",,,"534.0","HI","2021-04-25","2023-01-24"
"POL0001546","PC-AUT-157805","CUST001464","AGT00193","COV003","Auto","Active","2020-12-16","2021-12-11",12,475.30,39.61,2500.00,50000.00,"Monthly",,,"883.0","AK","2020-12-16","2022-11-17"
"POL0001547","PC-AUT-508484","CUST001843","AGT00046","COV002","Auto","Pending Renewal","2018-05-16","2019-05-11",12,5821.31,485.11,500.00,1000000.00,"Semi-Annual",,,"654.0","OH","2018-05-16","2019-11-27"
"POL0001548","PC-AUT-468338","CUST000300","AGT00023","COV005","Auto","Expired","2021-07-17","2022-07-12",12,5808.59,484.05,1000.00,100000.00,"Semi-Annual",,,"852.0","AK","2021-07-17","2023-01-10"
"POL0001549","PC-HOM-579209","CUST000812","AGT00022","COV019","Homeowners","Active","2019-12-14","2020-12-08",12,8183.66,681.97,500.00,100000.00,"Semi-Annual",,,"791.0","CA","2019-12-14","2020-07-26"
"POL0001550","PC-COM-510527","CUST001961","AGT00082","COV034","Commercial","Active","2021-04-01","2021-09-28",6,66526.07,5543.84,500.00,1000000.00,"Annual",,,"716.0","TX","2021-04-01","2021-06-25"
"POL0001551","PC-HOM-478343","CUST000407","AGT00175","COV014","Homeowners","Cancelled","2021-03-29","2022-03-24",12,4940.09,411.67,250.00,50000.00,"Semi-Annual","2021-07-05","Fraud Suspected","593.0","FL","2021-03-29","2021-06-09"
"POL0001552","PC-HOM-506272","CUST000173","AGT00164","COV014","Homeowners","Cancelled","2019-09-06","2020-08-31",12,5266.05,438.84,5000.00,50000.00,"Semi-Annual","2019-11-01","Non-Payment","652.0","TN","2019-09-06","2020-10-28"
"POL0001553","PC-AUT-245443","CUST000882","AGT00139","COV009","Auto","Cancelled","2020-02-26","2020-08-24",6,3603.68,300.31,500.00,100000.00,"Quarterly","2020-06-14","Fraud Suspected","904.0","IL","2020-02-26","2021-05-15"
"POL0001554","PC-COM-676076","CUST000306","AGT00196","COV025","Commercial","Cancelled","2020-09-12","2021-09-07",12,69261.29,5771.77,2500.00,50000.00,"Monthly","2021-05-13","Fraud Suspected","961.0","NC","2020-09-12","2021-07-15"
"POL0001555","PC-AUT-241332","CUST000416","AGT00058","COV002","Auto","Active","2018-02-03","2020-01-24",24,1280.11,106.68,2500.00,1000000.00,"Monthly",,,"917.0","PA","2018-02-03","2019-02-18"
"POL0001556","PC-AUT-578596","CUST001871","AGT00101","COV005","Auto","Active","2021-10-24","2022-10-19",12,3068.66,255.72,500.00,500000.00,"Monthly",,,"423.0","TN","2021-10-24","2022-11-25"
"POL0001557","PC-HOM-937721","CUST001937","AGT00113","COV013","Homeowners","Active","2022-10-05","2024-09-24",24,3431.30,285.94,250.00,50000.00,"Annual",,,"439.0","CO","2022-10-05","2024-07-07"
"POL0001558","PC-COM-148736","CUST000110","AGT00158","COV029","Commercial","Cancelled","2022-08-19","2023-02-15",6,9957.65,829.80,2500.00,100000.00,"Monthly","2022-12-14","Non-Payment","499.0","CO","2022-08-19","2023-10-21"
"POL0001559","PC-AUT-478823","CUST000485","AGT00070","COV010","Auto","Pending Renewal","2020-05-05","2020-11-01",6,3243.17,270.26,1000.00,250000.00,"Annual",,,"409.0","NV","2020-05-05","2021-09-26"
"POL0001560","PC-AUT-256415","CUST000671","AGT00092","COV004","Auto","Expired","2020-10-12","2022-10-02",24,1899.00,158.25,5000.00,1000000.00,"Annual",,,"689.0","CA","2020-10-12","2022-05-30"
"POL0001561","PC-HOM-321513","CUST001555","AGT00031","COV019","Homeowners","Cancelled","2020-05-27","2021-05-22",12,1125.88,93.82,2500.00,50000.00,"Semi-Annual","2021-01-03","Fraud Suspected","833.0","TX","2020-05-27","2022-03-16"
"POL0001562","PC-HOM-232532","CUST000154","AGT00064","COV019","Homeowners","Expired","2022-08-24","2024-08-13",24,1251.38,104.28,1000.00,100000.00,"Monthly",,,"905.0","MN","2022-08-24","2023-01-11"
"POL0001563","PC-AUT-795124","CUST000459","AGT00042","COV003","Auto","Expired","2018-07-19","2019-07-14",12,1959.92,163.33,1000.00,100000.00,"Annual",,,"439.0","NY","2018-07-19","2020-05-17"
"POL0001564","PC-AUT-601568","CUST001710","AGT00050","COV001","Auto","Suspended","2018-11-28","2019-11-23",12,5048.56,420.71,1000.00,100000.00,"Quarterly",,,"955.0","WI","2018-11-28","2020-04-18"
"POL0001565","PC-AUT-361317","CUST001013","AGT00186","COV010","Auto","Cancelled","2022-03-14","2024-03-03",24,5667.10,472.26,500.00,50000.00,"Monthly","2023-05-10","Non-Payment","472.0","FL","2022-03-14","2023-09-11"
"POL0001566","PC-AUT-381584","CUST001559","AGT00039","COV009","Auto","Suspended","2020-03-14","2021-03-09",12,7991.44,665.95,500.00,100000.00,"Semi-Annual",,,"887.0","FL","2020-03-14","2021-01-02"
"POL0001567","PC-HOM-416555","CUST000792","AGT00104","COV015","Homeowners","Active","2018-05-21","2019-05-16",12,4130.04,344.17,2500.00,50000.00,"Annual",,,"724.0","CA","2018-05-21","2018-05-31"
"POL0001568","PC-HOM-370190","CUST000661","AGT00021","COV015","Homeowners","Active","2021-08-24","2022-08-19",12,3343.57,278.63,5000.00,100000.00,"Annual",,,"524.0","IN","2021-08-24","2022-01-25"
"POL0001569","PC-AUT-208986","CUST001982","AGT00102","COV002","Auto","Pending Renewal","2022-07-03","2023-06-28",12,6944.60,578.72,2500.00,50000.00,"Annual",,,"997.0","TX","2022-07-03","2023-11-13"
"POL0001570","PC-AUT-541371","CUST000980","AGT00082","COV009","Auto","Suspended","2020-08-13","2021-02-09",6,4551.23,379.27,250.00,500000.00,"Quarterly",,,"472.0","IL","2020-08-13","2020-10-04"
"POL0001571","PC-HOM-605718","CUST000848","AGT00039","COV015","Homeowners","Active","2019-12-12","2020-12-06",12,6257.69,521.47,5000.00,250000.00,"Semi-Annual",,,"575.0","OH","2019-12-12","2021-09-07"
"POL0001572","PC-AUT-803315","CUST000959","AGT00150","COV002","Auto","Expired","2020-06-04","2021-05-30",12,6969.17,580.76,500.00,100000.00,"Quarterly",,,"566.0","TX","2020-06-04","2021-04-29"
"POL0001573","PC-COM-623528","CUST001317","AGT00165","COV024","Commercial","Active","2020-01-20","2022-01-09",24,56984.18,4748.68,5000.00,100000.00,"Semi-Annual",,,"611.0","WA","2020-01-20","2021-01-29"
"POL0001574","PC-AUT-501853","CUST001099","AGT00126","COV004","Auto","Active","2020-12-27","2022-12-17",24,4467.15,372.26,1000.00,500000.00,"Monthly",,,"658.0","AK","2020-12-27","2022-09-15"
"POL0001575","PC-AUT-242829","CUST001067","AGT00135","COV003","Auto","Pending Renewal","2021-08-17","2022-08-12",12,3692.80,307.73,5000.00,500000.00,"Quarterly",,,,"HI","2021-08-17","2021-10-30"
"POL0001576","PC-AUT-258505","CUST000763","AGT00062","COV002","Auto","Expired","2022-03-08","2023-03-03",12,3788.02,315.67,2500.00,50000.00,"Monthly",,,"832.0","FL","2022-03-08","2023-11-28"
"POL0001577","PC-HOM-438143","CUST001834","AGT00139","COV015","Homeowners","Active","2020-08-10","2021-08-05",12,6783.07,565.26,2500.00,1000000.00,"Monthly",,,"763.0","LA","2020-08-10","2022-02-08"
"POL0001578","PC-COM-852430","CUST000370","AGT00113","COV024","Commercial","Expired","2018-08-03","2019-01-30",6,40580.90,3381.74,500.00,1000000.00,"Monthly",,,"607.0","CA","2018-08-03","2018-09-02"
"POL0001579","PC-AUT-701387","CUST000679","AGT00132","COV005","Auto","Active","2020-10-05","2021-09-30",12,3352.17,279.35,2500.00,50000.00,"Monthly",,,"991.0","WA","2020-10-05","2022-07-11"
"POL0001580","PC-HOM-743157","CUST001458","AGT00131","COV016","Homeowners","Suspended","2020-01-16","2022-01-05",24,1036.21,86.35,2500.00,250000.00,"Annual",,,,"NC","2020-01-16","2020-10-30"
"POL0001581","PC-AUT-241787","CUST001256","AGT00063","COV003","Auto","Active","2019-06-01","2020-05-26",12,3037.37,253.11,500.00,100000.00,"Monthly",,,"770.0","NM","2019-06-01","2021-01-22"
"POL0001582","PC-COM-453687","CUST001550","AGT00193","COV022","Commercial","Pending Renewal","2019-10-29","2020-04-26",6,15181.30,1265.11,500.00,100000.00,"Monthly",,,"685.0","PA","2019-10-29","2020-12-13"
"POL0001583","PC-AUT-773842","CUST001481","AGT00048","COV010","Auto","Active","2021-03-18","2022-03-13",12,5577.89,464.82,2500.00,1000000.00,"Annual",,,"753.0","FL","2021-03-18","2021-03-29"
"POL0001584","PC-HOM-983021","CUST000403","AGT00159","COV016","Homeowners","Pending Renewal","2022-10-24","2023-10-19",12,811.66,67.64,5000.00,500000.00,"Semi-Annual",,,"825.0","CA","2022-10-24","2022-10-28"
"POL0001585","PC-AUT-150249","CUST001143","AGT00165","COV009","Auto","Cancelled","2018-02-20","2019-02-15",12,6364.49,530.37,2500.00,500000.00,"Semi-Annual","2018-10-08","Underwriting","638.0","KY","2018-02-20","2019-08-30"
"POL0001586","PC-AUT-893399","CUST001375","AGT00119","COV010","Auto","Active","2021-09-14","2022-03-13",6,6447.11,537.26,500.00,50000.00,"Annual",,,"580.0","MO","2021-09-14","2023-04-18"
"POL0001587","PC-COM-561359","CUST000227","AGT00072","COV034","Commercial","Active","2020-07-22","2022-07-12",24,29290.89,2440.91,5000.00,1000000.00,"Annual",,,"447.0","AZ","2020-07-22","2021-12-23"
"POL0001588","PC-AUT-608917","CUST000181","AGT00031","COV001","Auto","Active","2019-03-19","2020-03-13",12,7202.38,600.20,2500.00,500000.00,"Quarterly",,,"872.0","CA","2019-03-19","2019-09-07"
"POL0001589","PC-COM-593270","CUST001390","AGT00077","COV026","Commercial","Expired","2021-08-06","2023-07-27",24,15820.47,1318.37,500.00,500000.00,"Quarterly",,,"971.0","NC","2021-08-06","2021-10-27"
"POL0001590","PC-HOM-769277","CUST000473","AGT00061","COV011","Homeowners","Active","2019-11-03","2020-10-28",12,6265.15,522.10,250.00,500000.00,"Quarterly",,,"985.0","CA","2019-11-03","2019-12-21"
"POL0001591","PC-HOM-606404","CUST001630","AGT00180","COV015","Homeowners","Pending Renewal","2022-06-10","2024-05-30",24,3140.87,261.74,500.00,100000.00,"Monthly",,,"436.0","HI","2022-06-10","2023-04-09"
"POL0001592","PC-HOM-168400","CUST001393","AGT00137","COV018","Homeowners","Active","2020-11-13","2022-11-03",24,1562.90,130.24,250.00,50000.00,"Monthly",,,"937.0","TX","2020-11-13","2021-04-08"
"POL0001593","PC-AUT-476109","CUST000188","AGT00180","COV005","Auto","Active","2019-03-16","2019-09-12",6,2480.58,206.72,5000.00,100000.00,"Semi-Annual",,,"868.0","WI","2019-03-16","2020-06-11"
"POL0001594","PC-AUT-530071","CUST000535","AGT00181","COV007","Auto","Expired","2021-02-02","2023-01-23",24,3163.49,263.62,5000.00,50000.00,"Semi-Annual",,,"957.0","NC","2021-02-02","2022-12-25"
"POL0001595","PC-AUT-914596","CUST000091","AGT00113","COV004","Auto","Active","2022-11-12","2023-05-11",6,5358.11,446.51,1000.00,500000.00,"Quarterly",,,"911.0","CO","2022-11-12","2024-04-28"
"POL0001596","PC-AUT-634962","CUST000244","AGT00052","COV004","Auto","Suspended","2020-02-13","2021-02-07",12,2394.44,199.54,2500.00,50000.00,"Monthly",,,"570.0","CA","2020-02-13","2021-11-20"
"POL0001597","PC-COM-707153","CUST001769","AGT00144","COV025","Commercial","Active","2020-09-21","2021-09-16",12,4421.92,368.49,1000.00,50000.00,"Monthly",,,"584.0","CA","2020-09-21","2020-10-30"
"POL0001598","PC-AUT-543289","CUST001584","AGT00067","COV004","Auto","Active","2021-01-09","2022-01-04",12,5844.29,487.02,2500.00,100000.00,"Semi-Annual",,,"665.0","PA","2021-01-09","2021-01-28"
"POL0001599","PC-AUT-869507","CUST001220","AGT00182","COV007","Auto","Active","2020-02-09","2021-02-03",12,1458.07,121.51,500.00,1000000.00,"Monthly",,,"493.0","CA","2020-02-09","2021-05-11"
"POL0001600","PC-AUT-954145","CUST000355","AGT00042","COV002","Auto","Active","2019-06-17","2021-06-06",24,7172.06,597.67,2500.00,250000.00,"Annual",,,"662.0","CA","2019-06-17","2020-12-12"
"POL0001601","PC-HOM-206439","CUST000974","AGT00199","COV011","Homeowners","Active","2018-01-13","2019-01-08",12,5660.19,471.68,5000.00,50000.00,"Monthly",,,"570.0","AZ","2018-01-13","2018-03-25"
"POL0001602","PC-AUT-879399","CUST000465","AGT00092","COV005","Auto","Active","2018-11-13","2020-11-02",24,8117.61,676.47,5000.00,500000.00,"Semi-Annual",,,"704.0","NY","2018-11-13","2020-08-09"
"POL0001603","PC-AUT-208428","CUST001661","AGT00198","COV009","Auto","Active","2020-08-22","2021-08-17",12,4309.88,359.16,1000.00,1000000.00,"Quarterly",,,"448.0","NV","2020-08-22","2021-10-24"
"POL0001604","PC-AUT-553115","CUST000246","AGT00114","COV003","Auto","Cancelled","2022-09-04","2023-08-30",12,2734.26,227.86,1000.00,500000.00,"Monthly","2023-04-06","Insured Request",,"TX","2022-09-04","2023-07-29"
"POL0001605","PC-HOM-557865","CUST000981","AGT00042","COV011","Homeowners","Cancelled","2020-12-02","2022-11-22",24,5942.75,495.23,5000.00,100000.00,"Semi-Annual","2021-07-06","Move Out of State","883.0","MO","2020-12-02","2022-10-26"
"POL0001606","PC-HOM-298834","CUST001791","AGT00129","COV018","Homeowners","Expired","2018-08-08","2019-08-03",12,2604.52,217.04,1000.00,100000.00,"Annual",,,"850.0","CO","2018-08-08","2019-11-05"
"POL0001607","PC-COM-765540","CUST000141","AGT00084","COV029","Commercial","Expired","2020-07-02","2021-06-27",12,48028.33,4002.36,2500.00,500000.00,"Monthly",,,"501.0","LA","2020-07-02","2022-03-06"
"POL0001608","PC-HOM-386973","CUST000331","AGT00016","COV014","Homeowners","Suspended","2021-03-17","2022-03-12",12,590.21,49.18,5000.00,250000.00,"Monthly",,,"549.0","WI","2021-03-17","2022-03-19"
"POL0001609","PC-AUT-231056","CUST000423","AGT00018","COV001","Auto","Active","2020-02-21","2021-02-15",12,1893.82,157.82,500.00,1000000.00,"Monthly",,,"864.0","AZ","2020-02-21","2021-11-25"
"POL0001610","PC-HOM-774060","CUST001144","AGT00054","COV014","Homeowners","Active","2018-07-31","2019-07-26",12,7709.37,642.45,2500.00,50000.00,"Monthly",,,"724.0","NM","2018-07-31","2018-09-05"
"POL0001611","PC-AUT-915194","CUST000519","AGT00041","COV010","Auto","Pending Renewal","2018-04-23","2019-04-18",12,6003.23,500.27,500.00,50000.00,"Monthly",,,"744.0","NC","2018-04-23","2018-05-02"
"POL0001612","PC-COM-309761","CUST000074","AGT00200","COV025","Commercial","Expired","2020-06-28","2021-06-23",12,64116.23,5343.02,250.00,500000.00,"Semi-Annual",,,"992.0","TX","2020-06-28","2022-05-14"
"POL0001613","PC-COM-558286","CUST001768","AGT00156","COV026","Commercial","Suspended","2018-09-14","2019-09-09",12,66191.90,5515.99,5000.00,50000.00,"Semi-Annual",,,"616.0","TN","2018-09-14","2019-08-28"
"POL0001614","PC-COM-217861","CUST001119","AGT00144","COV024","Commercial","Pending Renewal","2018-11-29","2019-11-24",12,12564.57,1047.05,1000.00,50000.00,"Quarterly",,,"965.0","GA","2018-11-29","2019-12-23"
"POL0001615","PC-AUT-921263","CUST000947","AGT00169","COV004","Auto","Active","2018-03-17","2020-03-06",24,3583.52,298.63,1000.00,500000.00,"Annual",,,"459.0","MN","2018-03-17","2019-05-27"
"POL0001616","PC-COM-229703","CUST000568","AGT00121","COV029","Commercial","Suspended","2018-06-29","2019-06-24",12,66314.52,5526.21,250.00,250000.00,"Monthly",,,"931.0","LA","2018-06-29","2018-09-26"
"POL0001617","PC-AUT-873012","CUST000886","AGT00048","COV004","Auto","Active","2019-02-14","2020-02-09",12,1591.72,132.64,5000.00,500000.00,"Monthly",,,,"NC","2019-02-14","2019-02-18"
"POL0001618","PC-AUT-692223","CUST000557","AGT00140","COV004","Auto","Active","2020-09-21","2021-09-16",12,6454.91,537.91,500.00,1000000.00,"Monthly",,,,"WI","2020-09-21","2022-01-28"
"POL0001619","PC-HOM-754351","CUST001837","AGT00050","COV012","Homeowners","Cancelled","2020-06-01","2022-05-22",24,2099.43,174.95,2500.00,250000.00,"Monthly","2020-07-26","Insured Request","868.0","TX","2020-06-01","2020-08-27"
"POL0001620","PC-HOM-330154","CUST001009","AGT00156","COV014","Homeowners","Pending Renewal","2019-05-01","2021-04-20",24,5860.28,488.36,500.00,100000.00,"Monthly",,,"751.0","KY","2019-05-01","2019-06-07"
"POL0001621","PC-AUT-766914","CUST000744","AGT00193","COV005","Auto","Pending Renewal","2022-09-08","2023-09-03",12,7839.05,653.25,5000.00,1000000.00,"Monthly",,,"484.0","CA","2022-09-08","2023-03-15"
"POL0001622","PC-COM-348162","CUST001032","AGT00011","COV021","Commercial","Active","2018-11-23","2019-11-18",12,23656.38,1971.37,1000.00,100000.00,"Monthly",,,"465.0","CO","2018-11-23","2019-11-10"
"POL0001623","PC-HOM-189253","CUST000702","AGT00037","COV019","Homeowners","Active","2020-06-12","2021-06-07",12,5014.60,417.88,2500.00,250000.00,"Monthly",,,"948.0","CO","2020-06-12","2022-06-07"
"POL0001624","PC-AUT-990851","CUST001993","AGT00133","COV010","Auto","Expired","2020-01-26","2021-01-20",12,7720.35,643.36,250.00,50000.00,"Monthly",,,"590.0","FL","2020-01-26","2020-10-13"
"POL0001625","PC-COM-597578","CUST001615","AGT00196","COV025","Commercial","Cancelled","2021-06-07","2022-06-02",12,37339.26,3111.61,250.00,1000000.00,"Semi-Annual","2021-10-20","Insured Request","792.0","TN","2021-06-07","2021-10-06"
"POL0001626","PC-COM-945555","CUST000990","AGT00031","COV021","Commercial","Active","2020-07-22","2022-07-12",24,32390.71,2699.23,2500.00,50000.00,"Semi-Annual",,,,"CA","2020-07-22","2021-10-14"
"POL0001627","PC-COM-548801","CUST001454","AGT00078","COV021","Commercial","Active","2019-11-02","2020-10-27",12,23013.67,1917.81,1000.00,100000.00,"Monthly",,,"505.0","WA","2019-11-02","2020-09-19"
"POL0001628","PC-HOM-462598","CUST001232","AGT00058","COV015","Homeowners","Pending Renewal","2021-07-25","2022-07-20",12,1481.57,123.46,5000.00,1000000.00,"Monthly",,,"848.0","HI","2021-07-25","2023-05-19"
"POL0001629","PC-AUT-606682","CUST000590","AGT00052","COV001","Auto","Active","2019-08-02","2020-01-29",6,8467.34,705.61,1000.00,1000000.00,"Monthly",,,"603.0","WI","2019-08-02","2021-01-29"
"POL0001630","PC-COM-521551","CUST001479","AGT00096","COV029","Commercial","Suspended","2018-01-18","2019-01-13",12,32475.77,2706.31,5000.00,500000.00,"Quarterly",,,"487.0","TX","2018-01-18","2018-04-11"
"POL0001631","PC-HOM-536208","CUST000187","AGT00187","COV011","Homeowners","Cancelled","2019-10-26","2020-10-20",12,3396.75,283.06,250.00,250000.00,"Monthly","2019-12-23","Non-Payment","956.0","CA","2019-10-26","2021-03-04"
"POL0001632","PC-COM-663671","CUST000943","AGT00077","COV029","Commercial","Active","2021-08-02","2022-07-28",12,15709.40,1309.12,500.00,1000000.00,"Annual",,,"441.0","CA","2021-08-02","2022-10-11"
"POL0001633","PC-AUT-713474","CUST001745","AGT00032","COV004","Auto","Active","2020-12-20","2021-12-15",12,6706.13,558.84,250.00,1000000.00,"Monthly",,,"832.0","MO","2020-12-20","2022-05-15"
"POL0001634","PC-COM-821548","CUST001495","AGT00175","COV022","Commercial","Active","2021-03-26","2021-09-22",6,61193.57,5099.46,250.00,500000.00,"Quarterly",,,"406.0","PA","2021-03-26","2022-05-29"
"POL0001635","PC-AUT-594673","CUST000163","AGT00190","COV001","Auto","Pending Renewal","2022-08-18","2023-08-13",12,1891.07,157.59,250.00,50000.00,"Monthly",,,"738.0","NC","2022-08-18","2023-07-22"
"POL0001636","PC-COM-443516","CUST000161","AGT00189","COV021","Commercial","Active","2018-05-01","2019-04-26",12,2722.18,226.85,1000.00,50000.00,"Annual",,,"759.0","PA","2018-05-01","2019-11-08"
"POL0001637","PC-COM-251548","CUST001372","AGT00037","COV026","Commercial","Active","2018-01-25","2020-01-15",24,49629.80,4135.82,1000.00,250000.00,"Quarterly",,,"669.0","OH","2018-01-25","2019-11-17"
"POL0001638","PC-AUT-810029","CUST001344","AGT00057","COV005","Auto","Active","2018-12-17","2020-12-06",24,1810.44,150.87,250.00,100000.00,"Quarterly",,,"577.0","NC","2018-12-17","2020-10-20"
"POL0001639","PC-AUT-615192","CUST001329","AGT00122","COV004","Auto","Suspended","2019-03-23","2019-09-19",6,5494.73,457.89,5000.00,50000.00,"Quarterly",,,"543.0","CA","2019-03-23","2021-02-09"
"POL0001640","PC-COM-734474","CUST000572","AGT00147","COV029","Commercial","Pending Renewal","2019-09-03","2020-08-28",12,67727.48,5643.96,250.00,50000.00,"Annual",,,"412.0","PA","2019-09-03","2020-12-01"
"POL0001641","PC-AUT-307684","CUST001952","AGT00182","COV010","Auto","Suspended","2022-08-17","2023-08-12",12,4291.96,357.66,500.00,100000.00,"Quarterly",,,"611.0","CA","2022-08-17","2023-12-01"
"POL0001642","PC-HOM-308882","CUST000835","AGT00114","COV014","Homeowners","Active","2018-03-22","2019-03-17",12,5898.79,491.57,250.00,100000.00,"Monthly",,,"446.0","NC","2018-03-22","2019-07-27"
"POL0001643","PC-HOM-514282","CUST001522","AGT00189","COV011","Homeowners","Cancelled","2018-02-14","2019-02-09",12,887.27,73.94,2500.00,1000000.00,"Quarterly","2018-05-04","Non-Payment","783.0","OR","2018-02-14","2020-01-11"
"POL0001644","PC-COM-356915","CUST000910","AGT00189","COV029","Commercial","Active","2020-04-24","2021-04-19",12,27637.01,2303.08,500.00,500000.00,"Annual",,,"413.0","TX","2020-04-24","2021-07-19"
"POL0001645","PC-AUT-586526","CUST000126","AGT00037","COV003","Auto","Active","2020-04-02","2021-03-28",12,8038.35,669.86,500.00,1000000.00,"Quarterly",,,"929.0","PA","2020-04-02","2020-04-16"
"POL0001646","PC-AUT-734785","CUST001161","AGT00199","COV010","Auto","Active","2018-06-16","2019-06-11",12,429.88,35.82,1000.00,50000.00,"Monthly",,,"642.0","AK","2018-06-16","2020-01-26"
"POL0001647","PC-COM-791358","CUST000288","AGT00127","COV024","Commercial","Cancelled","2020-08-16","2021-08-11",12,48109.50,4009.12,250.00,100000.00,"Annual","2021-07-22","Move Out of State","763.0","IN","2020-08-16","2021-01-27"
"POL0001648","PC-AUT-328135","CUST000521","AGT00026","COV005","Auto","Active","2018-12-22","2019-12-17",12,1269.37,105.78,500.00,100000.00,"Annual",,,"608.0","TX","2018-12-22","2020-10-14"
"POL0001649","PC-AUT-815674","CUST000350","AGT00165","COV005","Auto","Cancelled","2021-06-26","2022-06-21",12,3440.59,286.72,1000.00,1000000.00,"Monthly","2022-05-27","Insured Request","532.0","CA","2021-06-26","2021-12-30"
"POL0001650","PC-AUT-979186","CUST000717","AGT00050","COV003","Auto","Pending Renewal","2022-04-26","2022-10-23",6,3279.95,273.33,1000.00,250000.00,"Monthly",,,,"TX","2022-04-26","2022-11-28"
"POL0001651","PC-AUT-378580","CUST001446","AGT00150","COV009","Auto","Active","2020-06-10","2020-12-07",6,2204.77,183.73,2500.00,250000.00,"Quarterly",,,"519.0","IN","2020-06-10","2021-10-28"
"POL0001652","PC-AUT-115016","CUST000554","AGT00167","COV001","Auto","Cancelled","2019-04-12","2020-04-06",12,5388.44,449.04,2500.00,500000.00,"Semi-Annual","2019-12-09","Insured Request","899.0","AK","2019-04-12","2021-01-20"
"POL0001653","PC-AUT-907837","CUST001627","AGT00156","COV007","Auto","Active","2020-07-26","2021-07-21",12,5318.47,443.21,5000.00,50000.00,"Semi-Annual",,,"897.0","LA","2020-07-26","2020-10-30"
"POL0001654","PC-HOM-165657","CUST000150","AGT00087","COV013","Homeowners","Pending Renewal","2019-04-19","2019-10-16",6,3335.68,277.97,500.00,50000.00,"Quarterly",,,"717.0","CA","2019-04-19","2019-08-01"
"POL0001655","PC-AUT-855610","CUST000264","AGT00133","COV010","Auto","Active","2019-09-25","2021-09-14",24,8234.55,686.21,250.00,1000000.00,"Monthly",,,"606.0","WA","2019-09-25","2020-04-03"
"POL0001656","PC-HOM-915704","CUST000674","AGT00042","COV011","Homeowners","Cancelled","2021-11-30","2023-11-20",24,3733.88,311.16,250.00,100000.00,"Annual","2022-07-05","Move Out of State","408.0","TX","2021-11-30","2022-09-19"
"POL0001657","PC-AUT-998025","CUST001432","AGT00074","COV009","Auto","Cancelled","2021-02-09","2022-02-04",12,6143.72,511.98,5000.00,500000.00,"Annual","2021-09-07","Move Out of State","776.0","OH","2021-02-09","2021-06-27"
"POL0001658","PC-AUT-641867","CUST001635","AGT00048","COV010","Auto","Cancelled","2019-05-05","2019-11-01",6,6293.78,524.48,500.00,250000.00,"Monthly","2019-10-22","Move Out of State","961.0","WA","2019-05-05","2019-05-13"
